station,valid,tmpc,relh,drct,sped,p01m
NYC,2023-01-01 00:20,12.22,89.88,0.00,0.00,T
NYC,2023-01-01 00:36,12.22,92.92,230.00,6.90,T
NYC,2023-01-01 00:49,12.00,93.60,M,4.60,T
NYC,2023-01-01 00:51,11.67,92.89,M,5.75,T
NYC,2023-01-01 01:51,11.67,89.18,230.00,8.05,T
NYC,2023-01-01 02:51,11.11,92.86,240.00,5.75,0.00
NYC,2023-01-01 03:51,11.67,85.59,260.00,9.20,0.00
NYC,2023-01-01 04:51,11.11,86.17,M,4.60,0.00
NYC,2023-01-01 05:51,10.56,89.09,M,3.45,0.00
NYC,2023-01-01 06:51,10.56,82.62,M,4.60,0.00
NYC,2023-01-01 07:51,10.00,80.06,M,5.75,0.00
NYC,2023-01-01 08:51,10.00,74.15,300.00,6.90,0.00
NYC,2023-01-01 09:51,11.11,63.24,M,6.90,0.00
NYC,2023-01-01 10:51,11.67,56.17,M,5.75,0.00
NYC,2023-01-01 11:51,11.11,56.45,290.00,8.05,0.00
NYC,2023-01-01 12:51,11.67,54.21,280.00,10.35,0.00
NYC,2023-01-01 13:51,12.22,48.65,280.00,5.75,0.00
NYC,2023-01-01 14:51,11.67,44.42,290.00,6.90,0.00
NYC,2023-01-01 15:51,11.67,42.48,300.00,4.60,0.00
NYC,2023-01-01 16:51,11.67,42.81,290.00,3.45,0.00
NYC,2023-01-01 17:51,10.56,45.73,0.00,0.00,0.00
NYC,2023-01-01 18:51,10.00,47.64,270.00,3.45,0.00
NYC,2023-01-01 19:51,10.56,51.81,250.00,3.45,0.00
NYC,2023-01-01 20:51,10.56,51.81,0.00,0.00,0.00
NYC,2023-01-01 21:51,10.56,52.00,0.00,0.00,0.00
NYC,2023-01-01 22:51,10.56,54.13,M,4.60,0.00
NYC,2023-01-01 23:51,10.00,56.39,0.00,0.00,0.00
NYC,2023-01-02 00:51,10.00,56.39,0.00,0.00,0.00
NYC,2023-01-02 01:51,10.56,56.10,M,3.45,0.00
NYC,2023-01-02 02:51,10.00,58.44,M,3.45,0.00
NYC,2023-01-02 03:51,10.00,60.79,0.00,0.00,0.00
NYC,2023-01-02 04:51,10.00,62.98,250.00,4.60,0.00
