station,valid,tmpc,relh,drct,sped,p01m
NYC,2017-01-01 00:51,6.67,46.70,M,3.45,0.00
NYC,2017-01-01 01:51,6.67,48.88,260.00,4.60,T
NYC,2017-01-01 02:51,7.22,45.12,M,M,0.00
NYC,2017-01-01 03:51,6.67,46.70,250.00,10.35,0.00
NYC,2017-01-01 04:51,7.22,43.46,250.00,6.90,0.00
NYC,2017-01-01 05:51,6.67,46.70,M,3.45,0.00
NYC,2017-01-01 06:51,6.67,46.70,M,M,0.00
NYC,2017-01-01 07:51,6.67,48.88,260.00,8.05,0.00
NYC,2017-01-01 08:51,6.67,48.88,M,5.75,0.00
NYC,2017-01-01 09:51,7.78,49.18,300.00,9.20,0.00
NYC,2017-01-01 10:51,7.22,41.50,310.00,11.50,0.00
NYC,2017-01-01 11:51,7.78,39.96,M,M,0.00
NYC,2017-01-01 12:51,8.33,36.87,M,M,0.00
NYC,2017-01-01 13:51,8.33,33.87,M,4.60,0.00
NYC,2017-01-01 14:51,8.33,31.22,M,4.60,0.00
NYC,2017-01-01 15:51,8.33,31.22,260.00,5.75,0.00
NYC,2017-01-01 16:51,7.78,31.07,0.00,0.00,0.00
NYC,2017-01-01 17:51,7.22,30.77,0.00,0.00,0.00
NYC,2017-01-01 18:51,6.11,37.81,60.00,3.45,0.00
NYC,2017-01-01 19:51,5.00,42.44,60.00,4.60,0.00
NYC,2017-01-01 20:51,5.56,37.49,50.00,5.75,0.00
NYC,2017-01-01 21:51,5.56,37.49,50.00,4.60,0.00
NYC,2017-01-01 22:51,5.00,40.83,60.00,4.60,0.00
NYC,2017-01-01 23:51,5.00,42.44,60.00,8.05,0.00
NYC,2017-01-02 00:51,4.44,50.50,60.00,8.05,0.00
NYC,2017-01-02 01:51,3.33,67.20,70.00,9.20,0.00
NYC,2017-01-02 02:51,3.33,64.49,M,5.75,0.00
NYC,2017-01-02 03:51,3.89,54.77,90.00,6.90,0.00
NYC,2017-01-02 04:51,3.33,59.36,50.00,6.90,0.00
NYC,2017-01-02 05:51,3.33,57.18,60.00,6.90,0.00
NYC,2017-01-02 06:51,3.89,54.77,M,6.90,0.00
NYC,2017-01-02 07:51,2.78,75.56,70.00,6.90,0.25
NYC,2017-01-02 08:51,2.78,85.64,M,4.60,0.51
NYC,2017-01-02 09:51,3.89,82.08,70.00,9.20,0.25
NYC,2017-01-02 10:51,4.44,79.25,70.00,8.05,T
NYC,2017-01-02 11:51,3.89,82.08,90.00,9.20,T
NYC,2017-01-02 12:51,3.89,88.87,80.00,10.35,0.25
NYC,2017-01-02 13:51,3.89,88.87,80.00,9.20,0.51
NYC,2017-01-02 14:19,3.89,92.45,80.00,11.50,0.25
NYC,2017-01-02 14:46,4.00,93.19,70.00,10.35,0.51
NYC,2017-01-02 14:49,4.00,93.19,60.00,10.35,0.51
NYC,2017-01-02 14:51,3.89,92.45,70.00,10.35,0.51
NYC,2017-01-02 15:02,3.89,92.45,70.00,8.05,0.25
NYC,2017-01-02 15:38,3.89,92.45,80.00,10.35,0.51
NYC,2017-01-02 15:51,4.44,89.27,50.00,9.20,0.51
NYC,2017-01-02 16:51,3.89,92.45,80.00,8.05,0.51
NYC,2017-01-02 17:51,3.89,92.45,70.00,11.50,0.51
NYC,2017-01-02 18:25,3.89,95.78,60.00,10.35,0.51
NYC,2017-01-02 18:34,3.89,95.78,70.00,9.20,0.51
NYC,2017-01-02 18:51,3.89,95.78,60.00,12.65,0.76
NYC,2017-01-02 19:51,3.89,95.78,70.00,12.65,0.00
NYC,2017-01-02 20:51,3.89,95.78,70.00,14.95,0.00
NYC,2017-01-02 21:51,3.89,95.78,70.00,11.50,0.00
NYC,2017-01-02 22:51,3.89,95.78,70.00,8.05,0.00
NYC,2017-01-02 23:49,4.00,93.19,70.00,11.50,0.51
NYC,2017-01-02 23:51,3.89,92.45,70.00,10.35,0.51
NYC,2017-01-03 00:04,3.89,95.78,60.00,13.80,0.25
NYC,2017-01-03 00:51,3.89,95.78,70.00,12.65,0.76
NYC,2017-01-03 01:01,3.89,95.78,70.00,14.95,0.25
NYC,2017-01-03 01:51,3.89,95.78,60.00,10.35,1.02
NYC,2017-01-03 02:18,3.89,95.78,70.00,9.20,0.51
NYC,2017-01-03 02:51,3.89,95.78,60.00,12.65,0.51
NYC,2017-01-03 03:51,3.89,95.78,70.00,8.05,0.25
NYC,2017-01-03 04:51,3.89,95.78,70.00,9.20,0.00
NYC,2017-01-03 05:51,3.89,95.78,80.00,10.35,0.00
NYC,2017-01-03 06:51,3.89,95.78,70.00,12.65,0.00
NYC,2017-01-03 07:51,3.89,100.00,80.00,11.50,0.00
NYC,2017-01-03 08:18,4.44,96.55,60.00,12.65,0.00
NYC,2017-01-03 08:51,4.44,96.55,60.00,13.80,0.00
NYC,2017-01-03 09:51,4.44,96.55,60.00,14.95,0.00
NYC,2017-01-03 10:25,4.44,100.00,70.00,11.50,T
NYC,2017-01-03 10:51,4.44,100.00,80.00,17.25,0.25
NYC,2017-01-03 11:00,4.44,100.00,60.00,12.65,T
NYC,2017-01-03 11:18,4.44,100.00,70.00,14.95,0.51
NYC,2017-01-03 11:51,5.00,95.82,70.00,16.10,1.02
NYC,2017-01-03 12:41,5.00,100.00,80.00,16.10,1.27
NYC,2017-01-03 12:51,5.00,100.00,70.00,13.80,1.78
NYC,2017-01-03 13:06,5.00,100.00,70.00,12.65,0.51
NYC,2017-01-03 13:43,5.00,100.00,70.00,14.95,1.52
NYC,2017-01-03 13:51,5.00,100.00,70.00,17.25,2.03
NYC,2017-01-03 14:05,5.00,100.00,70.00,12.65,0.25
NYC,2017-01-03 14:37,5.56,95.84,70.00,16.10,0.76
NYC,2017-01-03 14:49,6.00,93.30,70.00,14.95,0.76
NYC,2017-01-03 14:51,5.56,95.84,70.00,16.10,0.76
NYC,2017-01-03 15:11,5.56,95.84,70.00,17.25,0.25
